BoroughID,Borough,Latitude_South ,Longitude_East
BR00001,Akaroa,-43.80467,172.966667
BR00002,Alexandra,-45.24917,169.37972
BR00003,Arrowtown,-44.9425,168.83583
BR00004,Ashburton,-43.90556,171.74556
BR00005,Auckland,-36.86667,174.76667
BR00006,Balclutha,-46.233,169.75
BR00007,Birkenhead,-36.80749,174.723051
BR00008,Blenheim,-41.514,173.96
BR00009,Bluff,-46.6,168.333
BR00010,Brunner,-42.4325,171.32278
BR00011,Cambridge,-37.87822,175.4402
BR00012,Carterton,-41.025,175.5275
BR00013,Christchurch,-43.55,172.6667
BR00014,Cromwell,-45.045944,169.19556
BR00015,Dannevirke,-40.20611,176.09944
BR00016,Dargaville,-35.93833,173.87167
BR00017,Devonport,-36.831667,174.796278
BR00018,Dunedin,-45.87416,170.50361
BR00019,Eastbourne,-41.3,174.9
BR00020,Eketahuna,-40.647,175.704
BR00021,Eltham,-39.42972,174.29917
BR00022,Featherston,-41.117,175.317
BR00023,Feilding,-40.216667,175.566667
BR00024,Foxton,-40.47167,175.28583
BR00025,Geraldine,-44.09028,171.24333
BR00026,Gisborne,-38.6625,178.017778
BR00027,Gore,-46.09917,168.94639
BR00028,Green Island,-45.90278,170.43056
BR00029,Greymouth,-42.45,171.2075
BR00030,Greytown,-41.08,175.461
BR00031,Hamilton,-37.783,175.283
BR00032,Hampden,-45.32778,170.81667
BR00033,Hastings,-39.6381,176.84918
BR00034,Hawera,-39.59167,174.28333
BR00035,Hokitika,-42.71667,170.96667
BR00036,Inglewood,-39.15824,174.1802
BR00037,Invercargill,-46.4132,168.3538
BR00038,Invercargill South,-46.425,168.35
BR00039,Kaiapoi,-43.37832,172.64013
BR00040,Kaitangata,-46.275,169.85
BR00041,Kumara,-42.63111,171.18694
BR00042,Lawrence,-45.913,169.689
BR00043,Levin,-40.63333,175.275
BR00044,Lower Hutt,-41.21667,174.91667
BR00045,Lyttelton,-43.526945,172.632377
BR00046,Marton,-40.06917,175.37833
BR00047,Masterton,-40.95972,175.6575
BR00048,Mataura,-46.183,168.867
BR00049,Milton,-46.12083,169.96944
BR00050,Morrinsville,-37.65,175.517
BR00051,Mosgiel,-45.875,170.347
BR00052,Motueka,-41.12333,173.01472
BR00053,Mount Albert,-36.884,174.716
BR00054,Mount Eden,-36.88158,174.76204
BR00055,Napier,-39.4926,176.91233
BR00056,Naseby,-45.016667,170.133333
BR00057,Nelson,-41.27078,173.28404
BR00058,New Brighton,-43.50962726,172.7303742
BR00059,New Plymouth,-39.055626,174.075226
BR00060,Newmarket,-36.869862,174.777578
BR00061,Ngaruawahia,-37.66738,175.15554
BR00062,Northcote,-36.805,174.744
BR00063,Oamaru,-45.09746,170.96911
BR00064,Ohakune,-39.41861,175.39944
BR00065,Onehunga,-36.9223,174.7838
BR00066,Opotiki,-38.00915,177.28706
BR00067,Otahuhu,-36.9382,174.84019
BR00068,Otaki,-40.75833,175.15
BR00069,Paeroa,-37.36667,175.66667
BR00070,Pahiatua,-40.45333,175.84083
BR00071,Palmerston,-45.484026,170.715265
BR00072,Palmerston North,-40.35636,175.61113
BR00073,Patea,-39.75722,174.47667
BR00074,Petone,-41.22166578,174.8734632
BR00075,Picton,-41.29067,174.00801
BR00076,Port Chalmers,-45.8178,170.6188
BR00077,Pukekohe,-37.2,174.95
BR00078,Queenstown,-45.03023,168.66271
BR00079,Rangiora,-43.30437,172.58356
BR00080,Riccarton,-43.52998,172.59744
BR00081,Richmond,-41.3333,173.183
BR00082,Riverton,-46.35,168.01667
BR00083,Ross,-42.89583,170.81417
BR00084,Rotorua,-38.13874,176.24516
BR00085,Roxburgh,-45.53905,169.3123
BR00086,Runanga,-42.4020632,171.2465516
BR00087,Shannon,-40.5472,175.4107
BR00088,St. Kilda,-45.9048,170.5009
BR00089,Stratford,-39.33708,174.28382
BR00090,Sumner,-43.57144,172.76447
BR00091,Taihape,-39.6777,175.7988055
BR00092,Takapuna,-36.787,174.772
BR00093,Tapanui,-45.94332,169.2605276
BR00094,Taumarunui,-38.8833,175.2666
BR00095,Tauranga,-37.68611,176.16667
BR00096,Te Aroha,-37.533,175.717
BR00097,Te Awamutu,-38.00822,175.3302
BR00098,Te Kuiti,-38.332983,175.163456
BR00099,Temuka,-44.2453,171.27786
BR00100,Thames,-37.138389,175.5405
BR00101,Timaru,-44.39672,171.25364
BR00102,Waihi,-37.3833,175.833
BR00103,Waikouaiti,-45.59444,170.67222
BR00104,Waimate,-44.72836,171.05009
BR00105,Waipawa,-39.9416,176.58963
BR00106,Waipukurau,-39.9917,176.5583
BR00107,Wairoa,-39.03517,177.41803
BR00108,Waitara,-39.00158,174.23836
BR00109,Wanganui,-39.9333,175.05
BR00110,Wellington,-41.28664,174.77557
BR00111,West Harbour,-36.8094,174.6418
BR00112,Westport,-41.75262,171.6037
BR00113,Whakatane,-37.9585,176.985
BR00114,Whangarei,-35.73167,174.32391
BR00115,Winton,-46.15,168.33333
BR00116,Woodville,-40.3371,175.8667
BR00117,Woolston,-43.55,172.683333
